attribute,n,bubble,merge,quick,merge_speedup_vs_bubble,quick_speedup_vs_bubble
Close,1000,0.0134160000015981,0.0009991999831981,0.0011512000055518,13.42674162048926,11.653926282920285
Close,2500,0.1687576999829616,0.0025869999954011,0.0031462000042665,65.23297266446136,53.63857979598011
Close,5000,0.7368476999981795,0.005903599987505,0.0061840999987907,124.8132836841455,119.15197039864653
Close,10000,3.1995974000019487,0.0140541000000666,0.0209020999900531,227.66291687029312,153.07540397972332
Close,20000,,0.0142854000150691,0.0191416000016033,,
Close,50000,,0.0133111999894026,0.0187861000013072,,
Company,1000,5.110001075081527e-05,0.0009507999930065,9.110002429224552e-05,0.053744227099995295,0.5609220321049347
Company,2500,0.0001228000037372,0.0023013999743852,0.00024530000519,0.05335882728077505,0.5006115007705924
Company,5000,0.0002514999941922,0.005405600008089,0.0004650000191759,0.04652582392627139,0.5408601802596114
Company,10000,0.3041491000039968,0.0091930000053253,0.0009488000068813,33.08485802543348,320.561865301554
Company,20000,,0.0131889000185765,0.0011643999896477,,
Company,50000,,0.0113537999859545,0.0009985999786294,,
Volume,1000,0.0329635000089183,0.0011712000123225,0.001507600012701,28.145064602203504,21.864884406482094
Volume,2500,0.213465000008,0.0029952999902889,0.0044490000000223,71.26665132042787,47.98044504538774
Volume,5000,0.8053529000026174,0.0066344000224489,0.0093268000055104,121.39046443951752,86.34825444169532
Volume,10000,3.494946200022241,0.0158391000004485,0.0248608000110834,220.65308003126933,140.58060072339305
Volume,20000,,0.0180676000018138,0.0249334000109229,,
Volume,50000,,0.017214799998328,0.0222124000138137,,
